time,evi,ndvi,lswi
3/22/2010,0.343145979,0.607435413,0.061810614
3/30/2010,0.455447959,0.701260392,0.185794393
4/7/2010,0.375610114,0.663103337,0.123167797
4/15/2010,0.399691698,0.698524695,0.171940695
4/23/2010,0.396608315,0.678627145,0.160984031
5/1/2010,0.373183863,0.649967887,0.160867601
5/9/2010,0.396939509,0.575006199,0.235557285
5/17/2010,0.368470779,0.579617834,0.088913282
5/25/2010,0.331024377,0.557800224,0.072642968
6/2/2010,0.296858804,0.51547377,0.014878989
6/10/2010,0.26269323,0.473147315,-0.04288499
6/18/2010,0.235436474,0.445098039,-0.091618735
6/26/2010,0.245865602,0.439009662,-0.115605864
7/4/2010,0.223208168,0.423189347,-0.112775866
7/12/2010,0.227668452,0.391304348,-0.129636171
7/20/2010,0.21878353,0.397018558,-0.119294208
7/28/2010,0.240348407,0.417995444,-0.097499094
8/5/2010,0.214986707,0.395054282,-0.12270055
8/13/2010,0.217260491,0.381111111,-0.113409415
8/21/2010,0.217596973,0.400119976,-0.094822571
8/29/2010,0.225963946,0.391752577,-0.087837838
9/6/2010,0.228415974,0.421268539,-0.06264308
9/14/2010,0.220917136,0.396248196,-0.080053242
9/22/2010,0.241081475,0.427398064,-0.051831645
9/30/2010,0.209200223,0.371977862,-0.08685537
10/8/2010,0.191855116,0.345116042,-0.051628303
10/16/2010,0.174510009,0.318254221,-0.016401236
10/24/2010,0.185520523,0.400843882,-0.128816794
11/1/2010,0.217899266,0.462416372,-0.058525462
11/9/2010,0.230068945,0.506711409,-0.065313557
11/17/2010,0.22696477,0.49548069,-0.086345382
11/25/2010,0.229742138,0.534015118,-0.089229145
12/3/2010,0.236207282,0.509433962,-0.060469765
12/11/2010,0.242028073,0.506000774,-0.076009501
12/19/2010,0.234997979,0.488354334,-0.051812211
12/27/2010,0.23624961,0.546150383,-0.068619474
1/1/2011,0.237489888,0.553659632,-0.07486631
1/9/2011,0.236011764,0.504266874,-0.062832286
1/17/2011,0.193580345,0.518302387,-0.098298677
1/25/2011,0.227184541,0.554713406,-0.104257642
2/2/2011,0.242295752,0.535117057,-0.111970979
2/10/2011,0.231926534,0.555971897,-0.105305683
2/18/2011,0.317398673,0.556311881,-0.037872992
2/26/2011,0.284324862,0.51744186,0.003417343
3/6/2011,0.295056107,0.589119542,-0.022887324
3/14/2011,0.368508927,0.575418994,0.077314899
3/22/2011,0.326311591,0.573613767,0.029393371
3/30/2011,0.326025962,0.626302551,0.027702089
4/7/2011,0.361632356,0.639291465,0.087606838
4/15/2011,0.458274399,0.702439024,0.19112628
4/23/2011,0.378549494,0.725917848,0.152706968
5/1/2011,0.334961619,0.612903226,0.039185971
5/9/2011,0.305589285,0.593002499,0.05285512
5/17/2011,0.303900144,0.564499484,0.038830516
5/25/2011,0.279173646,0.505050505,-0.012222913
6/2/2011,0.282970331,0.492537313,-0.034749035
6/10/2011,0.265567444,0.498026316,-0.060837286
6/18/2011,0.239103678,0.495313086,-0.107230804
6/26/2011,0.222647203,0.445419445,-0.1764
7/4/2011,0.208034176,0.441860465,-0.175495967
7/12/2011,0.218919012,0.428378834,-0.173234491
7/20/2011,0.196561061,0.40625,-0.181991122
7/28/2011,0.200871578,0.386125654,-0.201056205
8/5/2011,0.203033182,0.413323782,-0.172919723
8/13/2011,0.214930579,0.413350871,-0.151933702
8/21/2011,0.192367574,0.390998594,-0.180273518
